record_id,object_id,longitude,latitude,elevation,condition,year_inspected,status_code,study_area
ADA_CurbRampPt_28877,28877,-76.9682741011683,38.87478897874614,-24.426500000001397,Non-Compliant,2016,1,anacostia_fairlawn
ADA_CurbRampPt_33350,33350,-76.98084496182597,38.86940663519159,-20.44759999999951,Non-Compliant,2016,1,anacostia_fairlawn
ADA_CurbRampPt_34782,34782,-76.98935735250313,38.85653220068565,20.074800000002142,Non-Compliant,2016,1,anacostia_fairlawn
ADA_CurbRampPt_487,487,-76.96572644243186,38.86943338017679,13.911600000006729,Non-Compliant,2016,1,anacostia_fairlawn
ADA_CurbRampPt_6680,6680,-76.96348681752639,38.87697004681785,-16.449900000006892,Non-Compliant,2016,1,anacostia_fairlawn
ADA_CurbRampPt_10043,10043,-77.01511097096521,38.95878125028727,31.497399999992922,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_12513,12513,-77.034458939927,38.94968033149493,40.87810000000172,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_13438,13438,-77.02401943005553,38.93530790699755,25.917499999995925,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_16907,16907,-77.0268370517886,38.93221524203864,25.590299999996205,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_17124,17124,-77.02836388657408,38.9573446347301,44.41659999999683,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_21815,21815,-77.03632709488816,38.94181374463058,22.694699999992736,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_2278,2278,-77.02130573125238,38.937131307817,31.596900000004098,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_26154,26154,-77.03875240764508,38.94407836759565,38.529099999999744,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_2899,2899,-77.02771208209002,38.95298352840959,25.66160000000673,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_29602,29602,-77.03626405653743,38.95830827027867,49.172200000000885,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_3245,3245,-77.02763289023981,38.92974563034023,22.33990000000631,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_3417,3417,-77.0328468627307,38.941810038782144,16.518500000005588,Fair,2016,1,columbia_heights_petworth
ADA_CurbRampPt_10535,10535,-77.02255014567145,38.95930539489035,38.75890000000072,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_10550,10550,-77.02639404525927,38.93085271736973,23.545800000007148,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_13112,13112,-77.02212820043407,38.95087675670894,36.26810000000114,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_18542,18542,-77.02627869195499,38.929739965683495,20.9149000000034,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_19769,19769,-77.02514394755327,38.94179258991034,25.448499999998603,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_21652,21652,-77.01963688734882,38.95309414042623,23.359800000005635,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_22154,22154,-77.01930321691516,38.942474067768195,41.10030000000552,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_23881,23881,-77.02962219926422,38.9363455585278,16.74099999999453,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_28492,28492,-77.03954525254238,38.92599186840451,22.442599999994854,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_30713,30713,-77.03283715252473,38.934194648347074,24.151899999997113,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_31366,31366,-77.02192735742467,38.946704167131664,35.66220000000612,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_5665,5665,-77.03332154387795,38.959366596908744,49.61460000000079,Good,2016,1,columbia_heights_petworth
ADA_CurbRampPt_13749,13749,-77.02980855623949,38.92238936277619,26.32279999999446,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_13876,13876,-77.02982692470654,38.925707330871184,24.278099999995902,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_16860,16860,-77.02297639217053,38.9280739534795,26.346799999999348,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_2098,2098,-77.02725972702453,38.95143087249156,22.4320000000007,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_2568,2568,-77.02712071296699,38.93555188315029,18.694499999997788,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_26297,26297,-77.02796581964581,38.92248393998951,19.691200000001118,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_29780,29780,-77.03895109374963,38.92144161044905,16.714000000007218,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_31784,31784,-77.02963003669694,38.92667955408635,21.753700000001118,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_33719,33719,-77.0296051286056,38.92961777523702,24.385999999998603,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_5111,5111,-77.02348148965827,38.94306720152798,28.5451999999932,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_8054,8054,-77.01983813162283,38.959519068806166,32.00699999999779,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_9294,9294,-77.01809052197105,38.958355685004065,27.00010000000475,Missing,2016,1,columbia_heights_petworth
ADA_CurbRampPt_13132,13132,-77.02200368230952,38.94832898089922,34.68369999999413,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_15117,15117,-77.0297901456086,38.954171222610256,38.039099999994505,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_17245,17245,-77.02727272637662,38.937555565721254,24.61130000000412,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_18370,18370,-77.02624654687698,38.933501846946285,25.0173000000068,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_23006,23006,-77.02616414111131,38.93402871611946,24.123399999996764,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_26078,26078,-77.02993402805211,38.94833484103266,18.207299999994575,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_28350,28350,-77.03662490952593,38.92262483774415,22.539199999999255,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_29759,29759,-77.02979604383032,38.92369655649171,27.558199999999488,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_32537,32537,-77.03330204761507,38.95966109329321,49.33719999999448,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_328,328,-77.02962759506988,38.93129187664271,26.167600000000675,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_5286,5286,-77.01673414941789,38.93836118806195,40.309800000002724,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_7434,7434,-77.02356821939512,38.948301609648986,30.55580000000191,Non-Compliant,2016,1,columbia_heights_petworth
ADA_CurbRampPt_12580,12580,-77.00495685802292,38.87835059305505,-24.892500000001746,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_13134,13134,-77.00065393646626,38.88568661940215,-9.738100000002305,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_18235,18235,-76.9995996473107,38.8783516516451,-23.432700000004843,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_18828,18828,-77.00922895732288,38.873085068613186,-22.8076,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_25298,25298,-77.0122907035984,38.87634678855656,-29.822100000004866,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_25430,25430,-76.98556077049405,38.865874096575794,-18.588000000003376,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_25734,25734,-76.99958526456348,38.878338599332224,-23.535799999997835,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_26882,26882,-76.99507608552994,38.891857491759296,-8.23179999999411,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_27075,27075,-77.00890032122895,38.88112961025937,-28.97400000000198,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_27682,27682,-76.99166333582677,38.873359991402225,-26.753700000001118,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_30857,30857,-76.98659136018951,38.8852956158599,-7.645699999993667,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_33297,33297,-76.99166982307699,38.87466943686707,-22.398700000005192,Fair,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_11016,11016,-76.99075391325051,38.86529764775825,-23.819900000002235,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_14800,14800,-76.99272938452216,38.88416497625831,-9.012199999997392,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_15489,15489,-76.99486250672112,38.888632733519586,-6.337499999994179,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_16824,16824,-76.9925638240695,38.888782094868176,-5.578999999997905,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_19085,19085,-76.98624422285822,38.880137615832126,-12.590599999995902,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_20386,20386,-77.0001454777056,38.87945040421178,-21.225800000000163,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_23858,23858,-77.00069157249165,38.87993503214102,-20.415599999992992,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_25527,25527,-76.9927088835384,38.88991085909801,-6.876600000003236,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_31623,31623,-76.99852358282406,38.88660699025948,-7.073999999993248,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_34156,34156,-77.01179214355344,38.88599994088841,-28.163100000005215,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_34719,34719,-76.98544610992076,38.89087855346415,-7.375199999994948,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_8864,8864,-76.99852687131013,38.88280030548818,-9.960600000005797,Good,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_12025,12025,-76.98504892979946,38.86763833607028,-24.508600000001024,Missing,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_15546,15546,-77.00356892172714,38.88045257026634,-21.643700000000536,Missing,2016,2,navy_yard_capitol_riverfront
ADA_CurbRampPt_19095,19095,-76.99609936102561,38.88863329482785,-7.028699999995297,Missing,2016,1,navy_yard_capitol_riverfront
ADA_CurbRampPt_24263,24263,-76.99835933252062,38.89352183474524,-7.482399999993504,Missing,2016,1,navy_yard_capitol_riverfront
